,Mercury/Apollodorus (Survival),Mercury/Apollodorus (Survival)
2023,Tellurium,Rare (4.40%)
2024,Argon Crystal,Ultra Rare (1.00%)
2025,Nitain Extract,Ultra Rare (1.00%)
2026,Xiphos Engines Blueprint,Legendary (0.50%)
2027,,
2028,Jupiter/Amalthea (Spy),Jupiter/Amalthea (Spy)
2029,Rotation A,Rotation A
2030,Vitality,Rare (9.09%)
2031,Magazine Warp,Rare (9.09%)
2032,Trick Mag,Rare (9.09%)
2033,Pressure Point,Rare (9.09%)
2034,Ammo Drum,Rare (9.09%)
2035,Fast Hands,Rare (9.09%)
2036,Point Strike,Rare (9.09%)
2037,Piercing Hit,Rare (9.09%)
2038,Pistol Gambit,Rare (9.09%)
2039,Blunderbuss,Rare (9.09%)
2040,Live Wire,Rare (9.09%)
2041,Rotation B,Rotation B
2042,Speed Trigger,Rare (5.56%)
2043,Fast Deflection,Rare (5.56%)
2044,Rush,Rare (5.56%)
2045,Target Cracker,Rare (5.56%)
2046,No Return,Rare (5.56%)
2047,Serration,Rare (5.56%)
2048,Hornet Strike,Rare (5.56%)
2049,Reflex Coil,Rare (5.56%)
2050,Deep Freeze,Rare (5.56%)
2051,North Wind,Rare (5.56%)
2052,Cryo Rounds,Rare (5.56%)
2053,Hell's Chamber,Rare (5.56%)
2054,Streamline,Rare (5.56%)
2055,Shocking Touch,Rare (5.56%)
2056,Stormbringer,Rare (5.56%)
2057,Point Blank,Rare (5.56%)
2058,Fury,Rare (5.56%)
2059,50 Endo,Rare (5.56%)
2060,Rotation C,Rotation C
2061,Metal Auger,Rare (5.64%)
2062,Rime Rounds,Rare (5.64%)
2063,Scattering Inferno,Rare (5.64%)
2064,Ivara Chassis Blueprint,Rare (5.64%)
2065,Meso P11 Relic,Uncommon (11.06%)
2066,Meso H4 Relic,Uncommon (11.06%)
2067,Meso N14 Relic,Uncommon (11.06%)
2068,Meso P10 Relic,Uncommon (11.06%)
2069,Meso D7 Relic,Uncommon (11.06%)
2070,Meso K4 Relic,Uncommon (11.06%)
2071,Meso S12 Relic,Uncommon (11.06%)
2072,,
2073,Jupiter/Metis (Rescue),Jupiter/Metis (Rescue)
2074,Rotation A,Rotation A
2075,Vapor Specter Blueprint,Very Common (100.00%)
2076,Rotation B,Rotation B
2077,Phase Specter Blueprint,Very Common (100.00%)
2078,Rotation C,Rotation C
2079,Force Specter Blueprint,Very Common (100.00%)
2080,,
2081,Jupiter/Io (Defense),Jupiter/Io (Defense)
2082,Rotation A,Rotation A
2083,Meso P11 Relic,Uncommon (14.29%)
2084,Meso H4 Relic,Uncommon (14.29%)
2085,Meso N14 Relic,Uncommon (14.29%)
2086,Meso P10 Relic,Uncommon (14.29%)
2087,Meso D7 Relic,Uncommon (14.29%)
2088,Meso K4 Relic,Uncommon (14.29%)
2089,Meso S12 Relic,Uncommon (14.29%)
2090,Rotation B,Rotation B
2091,Reflex Coil,Rare (6.25%)
2092,Deep Freeze,Rare (6.25%)
2093,North Wind,Rare (6.25%)
2094,Cryo Rounds,Rare (6.25%)
2095,Hell's Chamber,Rare (6.25%)
2096,Stormbringer,Rare (6.25%)
2097,Point Blank,Rare (6.25%)
2098,Fury,Rare (6.25%)
2099,150 Endo,Rare (6.25%)
2100,Neo S17 Relic,Rare (6.25%)
2101,Neo L2 Relic,Rare (6.25%)
2102,Neo K5 Relic,Rare (6.25%)
2103,Neo N22 Relic,Rare (6.25%)
2104,Neo C3 Relic,Rare (6.25%)
2105,Neo C2 Relic,Rare (6.25%)
2106,Neo M4 Relic,Rare (6.25%)
2107,Rotation C,Rotation C
2108,Vital Sense,Rare (4.51%)
2109,Metal Auger,Rare (4.51%)
2110,Ravage,Rare (4.51%)
2111,Stretch,Rare (4.51%)
2112,300 Endo,Rare (4.51%)
2113,Neo S17 Relic,Uncommon (11.06%)
2114,Neo L2 Relic,Uncommon (11.06%)
2115,Neo K5 Relic,Uncommon (11.06%)
2116,Neo N22 Relic,Uncommon (11.06%)
2117,Neo C3 Relic,Uncommon (11.06%)
2118,Neo C2 Relic,Uncommon (11.06%)
2119,Neo M4 Relic,Uncommon (11.06%)
2120,,
2121,Jupiter/Elara (Survival),Jupiter/Elara (Survival)
2122,Rotation A,Rotation A
2123,"2,500 Credits Cache",Uncommon (16.67%)
2124,"2,500 Credits Cache",Uncommon (16.67%)
2125,"2,500 Credits Cache",Uncommon (16.67%)
2126,100 Endo,Uncommon (16.67%)
2127,100 Endo,Uncommon (16.67%)
2128,100 Endo,Uncommon (16.67%)
2129,Rotation B,Rotation B
2130,Provoked,Rare (7.14%)
2131,Steel Fiber,Rare (7.14%)
2132,Serration,Rare (7.14%)
2133,Hornet Strike,Rare (7.14%)
2134,Fast Deflection,Rare (7.14%)
2135,Charged Shell,Rare (7.14%)
2136,Vital Sense,Rare (7.14%)
2137,Meso P11 Relic,Rare (7.14%)
2138,Meso H4 Relic,Rare (7.14%)
2139,Meso N14 Relic,Rare (7.14%)
2140,Meso P10 Relic,Rare (7.14%)
2141,Meso D7 Relic,Rare (7.14%)
2142,Meso K4 Relic,Rare (7.14%)
2143,Meso S12 Relic,Rare (7.14%)
2144,Rotation C,Rotation C
2145,Cleanse Corpus,Rare (3.76%)
2146,Pistol Ammo Mutation,Rare (3.76%)
2147,Arrow Mutation,Rare (3.76%)
2148,Rifle Ammo Mutation,Rare (3.76%)
2149,Sniper Ammo Mutation,Rare (3.76%)
2150,Shotgun Ammo Mutation,Rare (3.76%)
2151,Neo S17 Relic,Uncommon (11.06%)
2152,Neo L2 Relic,Uncommon (11.06%)
2153,Neo K5 Relic,Uncommon (11.06%)
2154,Neo N22 Relic,Uncommon (11.06%)
2155,Neo C3 Relic,Uncommon (11.06%)
2156,Neo C2 Relic,Uncommon (11.06%)
2157,Neo M4 Relic,Uncommon (11.06%)
2158,,
2159,Jupiter/Callisto (Interception),Jupiter/Callisto (Interception)
2160,Rotation A,Rotation A
2161,Vitality,Uncommon (10.00%)
2162,Magazine Warp,Uncommon (10.00%)
2163,Trick Mag,Uncommon (10.00%)
2164,Meso P11 Relic,Uncommon (10.00%)
2165,Meso H4 Relic,Uncommon (10.00%)
2166,Meso N14 Relic,Uncommon (10.00%)
2167,Meso P10 Relic,Uncommon (10.00%)
2168,Meso D7 Relic,Uncommon (10.00%)
2169,Meso K4 Relic,Uncommon (10.00%)
2170,Meso S12 Relic,Uncommon (10.00%)
2171,Rotation B,Rotation B
2172,Target Cracker,Rare (7.14%)
2173,No Return,Rare (7.14%)
2174,Serration,Rare (7.14%)
2175,Hornet Strike,Rare (7.14%)
2176,Reflex Coil,Rare (7.14%)
2177,North Wind,Rare (7.14%)
2178,Hell's Chamber,Rare (7.14%)
2179,Neo S17 Relic,Rare (7.14%)
2180,Neo L2 Relic,Rare (7.14%)
2181,Neo K5 Relic,Rare (7.14%)
2182,Neo N22 Relic,Rare (7.14%)
2183,Neo C3 Relic,Rare (7.14%)
2184,Neo C2 Relic,Rare (7.14%)
2185,Neo M4 Relic,Rare (7.14%)
2186,Rotation C,Rotation C
2187,Neo S17 Relic,Uncommon (14.29%)
2188,Neo L2 Relic,Uncommon (14.29%)
2189,Neo K5 Relic,Uncommon (14.29%)
2190,Neo N22 Relic,Uncommon (14.29%)
2191,Neo C3 Relic,Uncommon (14.29%)
2192,Neo C2 Relic,Uncommon (14.29%)
2193,Neo M4 Relic,Uncommon (14.29%)
2194,,
2195,Jupiter/Carpo (Caches),Jupiter/Carpo (Caches)
2196,Rotation A,Rotation A
2197,"4,000 Credits Cache",Common (33.33%)
2198,"4,000 Credits Cache",Common (33.33%)
2199,"4,000 Credits Cache",Common (33.33%)
2200,Rotation B,Rotation B
2201,400 Endo,Uncommon (12.65%)
2202,400 Endo,Uncommon (12.65%)
2203,400 Endo,Uncommon (12.65%)
2204,400 Endo,Uncommon (11.06%)
2205,400 Endo,Uncommon (11.06%)
2206,400 Endo,Ultra Rare (1.01%)
2207,400 Endo,Ultra Rare (1.01%)
2208,300X Polymer Bundle,Uncommon (12.65%)
2209,350X Rubedo,Uncommon (12.65%)
2210,300X Plastids,Uncommon (12.65%)
2211,Rotation C,Rotation C
2212,600 Endo,Uncommon (15.10%)
2213,600 Endo,Uncommon (15.10%)
2214,600 Endo,Rare (4.40%)
2215,Orokin Cell,Uncommon (15.10%)
2216,Gallium,Uncommon (15.10%)
2217,Neurodes,Uncommon (15.10%)
2218,2X Orokin Cell,Rare (4.40%)
2219,2X Gallium,Rare (4.40%)
2220,2X Neurodes,Rare (4.40%)
2221,Tellurium,Rare (4.40%)
2222,Argon Crystal,Ultra Rare (1.00%)
2223,Nitain Extract,Ultra Rare (1.00%)
2224,Xiphos Engines Blueprint,Legendary (0.50%)
2225,,
2226,Jupiter/Themisto (Assassination),Jupiter/Themisto (Assassination)
2227,Valkyr Neuroptics Blueprint,Common (38.72%)
2228,Valkyr Chassis Blueprint,Common (38.72%)
2229,Valkyr Systems Blueprint,Uncommon (22.56%)
2230,,
2231,Jupiter/The Ropalolyst (Assassination),Jupiter/The Ropalolyst (Assassination)
2232,Amalgam Furax Body Count,Uncommon (20.00%)
2233,Amalgam Ripkas True Steel,Uncommon (20.00%)
2234,Amalgam Argonak Metal Auger,Uncommon (20.00%)
2235,Amalgam Daikyu Target Acquired,Uncommon (20.00%)
2236,Amalgam Javlok Magazine Warp,Uncommon (20.00%)
2237,,
2238,Jupiter/The Ropalolyst (Assassination) Extra,Jupiter/The Ropalolyst (Assassination) Extra
2239,Wisp Blueprint,Uncommon (22.56%)
2240,Wisp Chassis Blueprint,Uncommon (25.81%)
2241,Wisp Neuroptics Blueprint,Uncommon (25.81%)
2242,Wisp Systems Blueprint,Uncommon (25.81%)
2243,,
2244,Jupiter/Sinai (Defense),Jupiter/Sinai (Defense)
2245,Rotation A,Rotation A
2246,Vitality,Rare (6.90%)
2247,Fast Deflection,Rare (6.90%)
2248,Rush,Rare (7.37%)
2249,Magazine Warp,Rare (6.90%)
2250,Trick Mag,Rare (6.90%)
2251,Pressure Point,Ultra Rare (1.01%)
2252,Ammo Drum,Rare (7.37%)
2253,Fast Hands,Rare (7.37%)
2254,True Punishment,Ultra Rare (1.01%)
2255,Lith G6 Relic,Rare (6.90%)
2256,Lith H8 Relic,Rare (6.90%)
2257,Lith S15 Relic,Rare (6.90%)
2258,Lith S14 Relic,Rare (6.90%)
2259,Lith B11 Relic,Rare (6.90%)
2260,Lith K10 Relic,Rare (6.90%)
2261,Lith R3 Relic,Rare (6.90%)
2262,Rotation B,Rotation B
2263,Speed Trigger,Rare (8.43%)
2264,Fast Hands,Ultra Rare (1.58%)
2265,Point Strike,Rare (8.43%)
2266,Vital Sense,Rare (8.43%)
2267,Piercing Hit,Ultra Rare (1.58%)
2268,Metal Auger,Ultra Rare (1.58%)
2269,Pistol Gambit,Rare (8.43%)
2270,Target Cracker,Rare (8.43%)
2271,No Return,Rare (8.43%)
2272,Ravage,Rare (8.43%)
2273,Blunderbuss,Rare (8.43%)
2274,Point Blank,Ultra Rare (1.58%)
2275,Serration,Ultra Rare (1.58%)
2276,Hornet Strike,Ultra Rare (1.58%)
2277,Fury,Legendary (0.67%)
2278,Reflex Coil,Ultra Rare (1.58%)
2279,Pressure Point,Rare (8.43%)
2280,True Punishment,Legendary (0.67%)
2281,Quickening,Legendary (0.67%)
2282,Meso P11 Relic,Ultra Rare (1.58%)
2283,Meso H4 Relic,Ultra Rare (1.58%)
2284,Meso N14 Relic,Ultra Rare (1.58%)
2285,Meso P10 Relic,Ultra Rare (1.58%)
2286,Meso D7 Relic,Ultra Rare (1.58%)
2287,Meso K4 Relic,Ultra Rare (1.58%)
2288,Meso S12 Relic,Ultra Rare (1.58%)
2289,Rotation C,Rotation C
2290,Hellfire,Rare (7.59%)
2291,Heated Charge,Rare (7.59%)
2292,Molten Impact,Ultra Rare (1.84%)
2293,Barrel Diffusion,Ultra Rare (1.84%)
2294,Streamline,Ultra Rare (1.84%)
2295,Intensify,Ultra Rare (1.84%)
2296,Thunderbolt,Legendary (0.40%)
2297,80 Endo,Rare (7.59%)
2298,80 Endo,Ultra Rare (1.84%)
2299,True Punishment,Legendary (0.40%)
2300,Quickening,Legendary (0.40%)
2301,Enduring Strike,Legendary (0.40%)
2302,Life Strike,Legendary (0.40%)
2303,Meso P11 Relic,Rare (7.59%)
2304,Meso H4 Relic,Rare (7.59%)
2305,Meso N14 Relic,Rare (7.59%)
2306,Meso P10 Relic,Rare (7.59%)
2307,Meso D7 Relic,Rare (7.59%)
2308,Meso K4 Relic,Rare (7.59%)
2309,Meso S12 Relic,Rare (7.59%)
2310,Neo S17 Relic,Ultra Rare (1.84%)
2311,Neo L2 Relic,Ultra Rare (1.84%)
2312,Neo K5 Relic,Ultra Rare (1.84%)
2313,Neo N22 Relic,Ultra Rare (1.84%)
2314,Neo C3 Relic,Ultra Rare (1.84%)
2315,Neo C2 Relic,Ultra Rare (1.84%)
2316,Neo M4 Relic,Ultra Rare (1.84%)
2317,,
2318,Jupiter/Ananke (Capture),Jupiter/Ananke (Capture)
2319,Vitality,Uncommon (10.84%)
2320,Fast Deflection,Uncommon (10.84%)
2321,Rush,Uncommon (11.06%)
2322,Magazine Warp,Uncommon (10.84%)
2323,Trick Mag,Uncommon (10.84%)
2324,Pressure Point,Legendary (0.34%)
2325,Ammo Drum,Uncommon (11.06%)
2326,Fast Hands,Uncommon (10.84%)
2327,Quickdraw,Uncommon (10.84%)
2328,Health Restore (Large),Uncommon (10.84%)
2329,Omni Ammo Box,Legendary (0.34%)
2330,North Wind,Legendary (0.34%)
2331,Shocking Touch,Legendary (0.34%)
2332,Molten Impact,Legendary (0.34%)
2333,Stretch,Legendary (0.34%)
2334,,
2335,Jupiter/Galilea (Sabotage),Jupiter/Galilea (Sabotage)
2336,Glacial Edge,Uncommon (25.81%)
2337,Conductive Blade,Uncommon (25.81%)
2338,Tempered Blade,Uncommon (25.81%)
2339,Meteor Crash,Rare (3.76%)
2340,Nebula Bore,Rare (3.76%)
2341,Astral Slash,Rare (3.76%)
2342,Comet Blast,Rare (3.76%)
2343,Quasar Drill,Rare (3.76%)
2344,Zodiac Shred,Rare (3.76%)
2345,,
2346,Jupiter/Cameria (Survival),Jupiter/Cameria (Survival)
2347,Rotation A,Rotation A
2348,"2,500 Credits Cache",Uncommon (16.67%)
2349,"2,500 Credits Cache",Uncommon (16.67%)
2350,"2,500 Credits Cache",Uncommon (16.67%)
2351,100 Endo,Uncommon (16.67%)
2352,100 Endo,Uncommon (16.67%)
2353,100 Endo,Uncommon (16.67%)
2354,Rotation B,Rotation B
2355,Provoked,Rare (7.14%)
2356,Steel Fiber,Rare (7.14%)
2357,Serration,Rare (7.14%)
2358,Hornet Strike,Rare (7.14%)
2359,Fast Deflection,Rare (7.14%)
2360,Charged Shell,Rare (7.14%)
2361,Vital Sense,Rare (7.14%)
2362,Meso P11 Relic,Rare (7.14%)
2363,Meso H4 Relic,Rare (7.14%)
2364,Meso N14 Relic,Rare (7.14%)
2365,Meso P10 Relic,Rare (7.14%)
2366,Meso D7 Relic,Rare (7.14%)
2367,Meso K4 Relic,Rare (7.14%)
2368,Meso S12 Relic,Rare (7.14%)
2369,Rotation C,Rotation C
2370,Quickening,Uncommon (11.28%)
2371,Enduring Strike,Uncommon (11.28%)
2372,Neo S17 Relic,Uncommon (11.06%)
2373,Neo L2 Relic,Uncommon (11.06%)
2374,Neo K5 Relic,Uncommon (11.06%)
2375,Neo N22 Relic,Uncommon (11.06%)
2376,Neo C3 Relic,Uncommon (11.06%)
2377,Neo C2 Relic,Uncommon (11.06%)
2378,Neo M4 Relic,Uncommon (11.06%)
2379,,
2380,Saturn/Helene (Defense),Saturn/Helene (Defense)
2381,Rotation A,Rotation A
2382,Meso P11 Relic,Uncommon (14.29%)
2383,Meso H4 Relic,Uncommon (14.29%)
2384,Meso N14 Relic,Uncommon (14.29%)
2385,Meso P10 Relic,Uncommon (14.29%)
2386,Meso D7 Relic,Uncommon (14.29%)
2387,Meso K4 Relic,Uncommon (14.29%)
2388,Meso S12 Relic,Uncommon (14.29%)
2389,Rotation B,Rotation B
2390,Reflex Coil,Rare (6.25%)
2391,Deep Freeze,Rare (6.25%)
2392,North Wind,Rare (6.25%)
2393,Cryo Rounds,Rare (6.25%)
2394,Hell's Chamber,Rare (6.25%)
2395,Stormbringer,Rare (6.25%)
2396,Point Blank,Rare (6.25%)
2397,Fury,Rare (6.25%)
2398,150 Endo,Rare (6.25%)
2399,Neo S17 Relic,Rare (6.25%)
2400,Neo L2 Relic,Rare (6.25%)
2401,Neo K5 Relic,Rare (6.25%)
2402,Neo N22 Relic,Rare (6.25%)
2403,Neo C3 Relic,Rare (6.25%)
2404,Neo C2 Relic,Rare (6.25%)
2405,Neo M4 Relic,Rare (6.25%)
2406,Rotation C,Rotation C
2407,Vital Sense,Rare (4.51%)
2408,Metal Auger,Rare (4.51%)
2409,Ravage,Rare (4.51%)
2410,Stretch,Rare (4.51%)
2411,300 Endo,Rare (4.51%)
2412,Neo S17 Relic,Uncommon (11.06%)
2413,Neo L2 Relic,Uncommon (11.06%)
2414,Neo K5 Relic,Uncommon (11.06%)
2415,Neo N22 Relic,Uncommon (11.06%)
2416,Neo C3 Relic,Uncommon (11.06%)
2417,Neo C2 Relic,Uncommon (11.06%)
2418,Neo M4 Relic,Uncommon (11.06%)
2419,,
2420,Saturn/Titan (Survival),Saturn/Titan (Survival)
2421,Rotation A,Rotation A
2422,"2,500 Credits Cache",Uncommon (16.67%)
2423,"2,500 Credits Cache",Uncommon (16.67%)
2424,"2,500 Credits Cache",Uncommon (16.67%)
2425,100 Endo,Uncommon (16.67%)
2426,100 Endo,Uncommon (16.67%)
2427,100 Endo,Uncommon (16.67%)
2428,Rotation B,Rotation B
2429,Provoked,Rare (7.14%)
2430,Steel Fiber,Rare (7.14%)
2431,Serration,Rare (7.14%)
2432,Hornet Strike,Rare (7.14%)
2433,Fast Deflection,Rare (7.14%)
2434,Charged Shell,Rare (7.14%)
2435,Vital Sense,Rare (7.14%)
2436,Meso P11 Relic,Rare (7.14%)
2437,Meso H4 Relic,Rare (7.14%)
2438,Meso N14 Relic,Rare (7.14%)
2439,Meso P10 Relic,Rare (7.14%)
2440,Meso D7 Relic,Rare (7.14%)
2441,Meso K4 Relic,Rare (7.14%)
2442,Meso S12 Relic,Rare (7.14%)
2443,Rotation C,Rotation C
2444,Cleanse Corpus,Rare (3.76%)
2445,Pistol Ammo Mutation,Rare (3.76%)
2446,Arrow Mutation,Rare (3.76%)
2447,Rifle Ammo Mutation,Rare (3.76%)
2448,Sniper Ammo Mutation,Rare (3.76%)
2449,Shotgun Ammo Mutation,Rare (3.76%)
2450,Neo S17 Relic,Uncommon (11.06%)
2451,Neo L2 Relic,Uncommon (11.06%)
2452,Neo K5 Relic,Uncommon (11.06%)
2453,Neo N22 Relic,Uncommon (11.06%)
2454,Neo C3 Relic,Uncommon (11.06%)
2455,Neo C2 Relic,Uncommon (11.06%)
2456,Neo M4 Relic,Uncommon (11.06%)
2457,,
2458,Saturn/Dione (Spy),Saturn/Dione (Spy)
2459,Rotation A,Rotation A
2460,Vitality,Rare (9.09%)
2461,Magazine Warp,Rare (9.09%)
2462,Trick Mag,Rare (9.09%)
2463,Pressure Point,Rare (9.09%)
2464,Ammo Drum,Rare (9.09%)
2465,Fast Hands,Rare (9.09%)
2466,Point Strike,Rare (9.09%)
2467,Piercing Hit,Rare (9.09%)
2468,Pistol Gambit,Rare (9.09%)
2469,Blunderbuss,Rare (9.09%)
2470,Live Wire,Rare (9.09%)
2471,Rotation B,Rotation B
2472,Speed Trigger,Rare (5.56%)
2473,Fast Deflection,Rare (5.56%)
2474,Rush,Rare (5.56%)
2475,Target Cracker,Rare (5.56%)
2476,No Return,Rare (5.56%)
2477,Serration,Rare (5.56%)
2478,Hornet Strike,Rare (5.56%)
2479,Reflex Coil,Rare (5.56%)
2480,Deep Freeze,Rare (5.56%)
2481,North Wind,Rare (5.56%)
2482,Cryo Rounds,Rare (5.56%)
2483,Hell's Chamber,Rare (5.56%)
2484,Streamline,Rare (5.56%)
2485,Shocking Touch,Rare (5.56%)
2486,Stormbringer,Rare (5.56%)
2487,Point Blank,Rare (5.56%)
2488,Fury,Rare (5.56%)
2489,50 Endo,Rare (5.56%)
2490,Rotation C,Rotation C
2491,Metal Auger,Rare (5.64%)
2492,Rime Rounds,Rare (5.64%)
2493,Scattering Inferno,Rare (5.64%)
2494,Ivara Chassis Blueprint,Rare (5.64%)
2495,Meso P11 Relic,Uncommon (11.06%)
2496,Meso H4 Relic,Uncommon (11.06%)
2497,Meso N14 Relic,Uncommon (11.06%)
2498,Meso P10 Relic,Uncommon (11.06%)
2499,Meso D7 Relic,Uncommon (11.06%)
2500,Meso K4 Relic,Uncommon (11.06%)
2501,Meso S12 Relic,Uncommon (11.06%)
2502,,
2503,Saturn/Mordo Cluster (Skirmish),Saturn/Mordo Cluster (Skirmish)
2504,300 Endo,Uncommon (20.00%)
2505,450 Endo,Uncommon (10.00%)
2506,2X Riven Sliver,Rare (5.50%)
2507,Forma Blueprint,Rare (2.50%)
2508,Lavan Engines Mk Ii,Rare (6.00%)
2509,Lavan Reactor Mk Ii,Rare (6.00%)
2510,Lavan Shield Array Mk Ii,Rare (6.00%)
2511,Lavan Plating Mk Ii,Rare (6.00%)
2512,Vidar Engines Mk Ii,Rare (6.00%)
2513,Vidar Reactor Mk Ii,Rare (6.00%)
2514,Vidar Shield Array Mk Ii,Rare (6.00%)
2515,Vidar Plating Mk Ii,Rare (6.00%)
2516,Meso P11 Relic,Rare (2.00%)
2517,Meso H4 Relic,Rare (2.00%)
2518,Meso N14 Relic,Rare (2.00%)
2519,Meso P10 Relic,Rare (2.00%)
2520,Meso D7 Relic,Rare (2.00%)
2521,Meso K4 Relic,Rare (2.00%)
2522,Meso S12 Relic,Rare (2.00%)
2523,,
2524,Saturn/Mordo Cluster (Skirmish) Extra,Saturn/Mordo Cluster (Skirmish) Extra
2525,200X Carbides,Uncommon (28.57%)
2526,200X Titanium,Uncommon (28.57%)
2527,5X Gallos Rods,Uncommon (14.29%)
2528,5X Asterite,Uncommon (14.29%)
2529,Komms,Rare (7.14%)
2530,Nullstones,Rare (7.14%)
2531,,
2532,Saturn/Mordo Cluster (Caches),Saturn/Mordo Cluster (Caches)
2533,300 Endo,Uncommon (20.00%)
2534,450 Endo,Uncommon (10.00%)
2535,Oberon Chassis Blueprint,Uncommon (10.00%)
2536,Countermeasures,Rare (4.03%)
2537,Munitions Vortex,Rare (4.03%)
2538,Blackout Pulse,Rare (4.03%)
2539,Meso P11 Relic,Rare (5.99%)
2540,Meso H4 Relic,Rare (5.99%)
2541,Meso N14 Relic,Rare (5.99%)
2542,Meso P10 Relic,Rare (5.99%)
2543,Meso D7 Relic,Rare (5.99%)
2544,Meso K4 Relic,Rare (5.99%)
2545,Meso S12 Relic,Rare (5.99%)
2546,Lith C7 Relic,Rare (6.00%)
2547,,
2548,Saturn/Kasio's Rest (Skirmish),Saturn/Kasio's Rest (Skirmish)
2549,300 Endo,Uncommon (20.00%)
2550,450 Endo,Uncommon (10.00%)
2551,2X Riven Sliver,Rare (5.50%)
2552,Forma Blueprint,Rare (2.50%)
2553,Lavan Engines Mk Ii,Rare (6.00%)
2554,Lavan Reactor Mk Ii,Rare (6.00%)
2555,Lavan Shield Array Mk Ii,Rare (6.00%)
2556,Lavan Plating Mk Ii,Rare (6.00%)
2557,Vidar Engines Mk Ii,Rare (6.00%)
2558,Vidar Reactor Mk Ii,Rare (6.00%)
2559,Vidar Shield Array Mk Ii,Rare (6.00%)
2560,Vidar Plating Mk Ii,Rare (6.00%)
2561,Meso P11 Relic,Rare (2.00%)
2562,Meso H4 Relic,Rare (2.00%)
2563,Meso N14 Relic,Rare (2.00%)
2564,Meso P10 Relic,Rare (2.00%)
2565,Meso D7 Relic,Rare (2.00%)
2566,Meso K4 Relic,Rare (2.00%)
2567,Meso S12 Relic,Rare (2.00%)
2568,,
2569,Saturn/Kasio's Rest (Skirmish) Extra,Saturn/Kasio's Rest (Skirmish) Extra
2570,200X Carbides,Uncommon (28.57%)
2571,200X Titanium,Uncommon (28.57%)
2572,5X Gallos Rods,Uncommon (14.29%)
2573,5X Asterite,Uncommon (14.29%)
2574,Komms,Rare (7.14%)
2575,Nullstones,Rare (7.14%)
2576,,
2577,Saturn/Kasio's Rest (Caches),Saturn/Kasio's Rest (Caches)
2578,300 Endo,Uncommon (20.00%)
2579,450 Endo,Uncommon (10.00%)
2580,Oberon Chassis Blueprint,Uncommon (10.00%)
2581,Countermeasures,Rare (4.03%)
2582,Munitions Vortex,Rare (4.03%)
2583,Blackout Pulse,Rare (4.03%)
2584,Meso P11 Relic,Rare (5.99%)
2585,Meso H4 Relic,Rare (5.99%)
2586,Meso N14 Relic,Rare (5.99%)
2587,Meso P10 Relic,Rare (5.99%)
2588,Meso D7 Relic,Rare (5.99%)
2589,Meso K4 Relic,Rare (5.99%)
2590,Meso S12 Relic,Rare (5.99%)
2591,Lith C7 Relic,Rare (6.00%)
2592,,
2593,Saturn/Nodo Gap (Skirmish),Saturn/Nodo Gap (Skirmish)
2594,300 Endo,Uncommon (20.00%)
2595,450 Endo,Uncommon (10.00%)
2596,2X Riven Sliver,Rare (5.50%)
2597,Forma Blueprint,Rare (2.50%)
2598,Lavan Engines Mk Ii,Rare (6.00%)
2599,Lavan Reactor Mk Ii,Rare (6.00%)
2600,Lavan Shield Array Mk Ii,Rare (6.00%)
2601,Lavan Plating Mk Ii,Rare (6.00%)
2602,Vidar Engines Mk Ii,Rare (6.00%)
2603,Vidar Reactor Mk Ii,Rare (6.00%)
2604,Vidar Shield Array Mk Ii,Rare (6.00%)
2605,Vidar Plating Mk Ii,Rare (6.00%)
2606,Meso P11 Relic,Rare (2.00%)
2607,Meso H4 Relic,Rare (2.00%)
2608,Meso N14 Relic,Rare (2.00%)
2609,Meso P10 Relic,Rare (2.00%)
2610,Meso D7 Relic,Rare (2.00%)
2611,Meso K4 Relic,Rare (2.00%)
2612,Meso S12 Relic,Rare (2.00%)
2613,,
2614,Saturn/Nodo Gap (Skirmish) Extra,Saturn/Nodo Gap (Skirmish) Extra
2615,200X Carbides,Uncommon (28.57%)
2616,200X Titanium,Uncommon (28.57%)
2617,5X Gallos Rods,Uncommon (14.29%)
2618,5X Asterite,Uncommon (14.29%)
2619,Komms,Rare (7.14%)
2620,Nullstones,Rare (7.14%)
2621,,
2622,Saturn/Nodo Gap (Caches),Saturn/Nodo Gap (Caches)
2623,300 Endo,Uncommon (20.00%)
2624,450 Endo,Uncommon (10.00%)
2625,Oberon Chassis Blueprint,Uncommon (10.00%)
2626,Countermeasures,Rare (4.03%)
2627,Munitions Vortex,Rare (4.03%)
2628,Blackout Pulse,Rare (4.03%)
2629,Meso P11 Relic,Rare (5.99%)
2630,Meso H4 Relic,Rare (5.99%)
2631,Meso N14 Relic,Rare (5.99%)
2632,Meso P10 Relic,Rare (5.99%)
2633,Meso D7 Relic,Rare (5.99%)
2634,Meso K4 Relic,Rare (5.99%)
2635,Meso S12 Relic,Rare (5.99%)
2636,Lith C7 Relic,Rare (6.00%)
2637,,
2638,Saturn/Lupal Pass (Skirmish),Saturn/Lupal Pass (Skirmish)
2639,300 Endo,Uncommon (20.00%)
2640,450 Endo,Uncommon (10.00%)
2641,2X Riven Sliver,Rare (5.50%)
2642,Forma Blueprint,Rare (2.50%)
2643,Lavan Engines Mk Ii,Rare (6.00%)
2644,Lavan Reactor Mk Ii,Rare (6.00%)
2645,Lavan Shield Array Mk Ii,Rare (6.00%)
2646,Lavan Plating Mk Ii,Rare (6.00%)
2647,Vidar Engines Mk Ii,Rare (6.00%)
