,Axi A1 Relic (Intact),Axi A1 Relic (Intact).1
3328,Spira Prime Pouch,Rare (2.00%)
3329,Nikana Prime Blade,Uncommon (11.00%)
3330,Forma Blueprint,Uncommon (11.00%)
3331,Saryn Prime Systems Blueprint,Uncommon (25.33%)
3332,Venka Prime Blades,Uncommon (25.33%)
3333,Cernos Prime Grip,Uncommon (25.33%)
3334,,
3335,Axi S5 Relic (Exceptional),Axi S5 Relic (Exceptional)
3336,Spira Prime Pouch,Rare (4.00%)
3337,Nikana Prime Blade,Uncommon (13.00%)
3338,Forma Blueprint,Uncommon (13.00%)
3339,Saryn Prime Systems Blueprint,Uncommon (23.33%)
3340,Venka Prime Blades,Uncommon (23.33%)
3341,Cernos Prime Grip,Uncommon (23.33%)
3342,,
3343,Axi S5 Relic (Flawless),Axi S5 Relic (Flawless)
3344,Spira Prime Pouch,Rare (6.00%)
3345,Nikana Prime Blade,Uncommon (17.00%)
3346,Forma Blueprint,Uncommon (17.00%)
3347,Saryn Prime Systems Blueprint,Uncommon (20.00%)
3348,Venka Prime Blades,Uncommon (20.00%)
3349,Cernos Prime Grip,Uncommon (20.00%)
3350,,
3351,Axi S5 Relic (Radiant),Axi S5 Relic (Radiant)
3352,Spira Prime Pouch,Uncommon (10.00%)
3353,Nikana Prime Blade,Uncommon (20.00%)
3354,Forma Blueprint,Uncommon (20.00%)
3355,Saryn Prime Systems Blueprint,Uncommon (16.67%)
3356,Venka Prime Blades,Uncommon (16.67%)
3357,Cernos Prime Grip,Uncommon (16.67%)
3358,,
3359,Axi S6 Relic (Intact),Axi S6 Relic (Intact)
3360,Sybaris Prime Barrel,Rare (2.00%)
3361,Tigris Prime Barrel,Uncommon (11.00%)
3362,Silva & Aegis Prime Blade,Uncommon (11.00%)
3363,Nekros Prime Chassis Blueprint,Uncommon (25.33%)
3364,Burston Prime Blueprint,Uncommon (25.33%)
3365,Forma Blueprint,Uncommon (25.33%)
3366,,
3367,Axi S6 Relic (Exceptional),Axi S6 Relic (Exceptional)
3368,Sybaris Prime Barrel,Rare (4.00%)
3369,Tigris Prime Barrel,Uncommon (13.00%)
3370,Silva & Aegis Prime Blade,Uncommon (13.00%)
3371,Nekros Prime Chassis Blueprint,Uncommon (23.33%)
3372,Burston Prime Blueprint,Uncommon (23.33%)
3373,Forma Blueprint,Uncommon (23.33%)
3374,,
3375,Axi S6 Relic (Flawless),Axi S6 Relic (Flawless)
3376,Sybaris Prime Barrel,Rare (6.00%)
3377,Tigris Prime Barrel,Uncommon (17.00%)
3378,Silva & Aegis Prime Blade,Uncommon (17.00%)
3379,Nekros Prime Chassis Blueprint,Uncommon (20.00%)
3380,Burston Prime Blueprint,Uncommon (20.00%)
3381,Forma Blueprint,Uncommon (20.00%)
3382,,
3383,Axi S6 Relic (Radiant),Axi S6 Relic (Radiant)
3384,Sybaris Prime Barrel,Uncommon (10.00%)
3385,Tigris Prime Barrel,Uncommon (20.00%)
3386,Silva & Aegis Prime Blade,Uncommon (20.00%)
3387,Nekros Prime Chassis Blueprint,Uncommon (16.67%)
3388,Burston Prime Blueprint,Uncommon (16.67%)
3389,Forma Blueprint,Uncommon (16.67%)
3390,,
3391,Axi S7 Relic (Intact),Axi S7 Relic (Intact)
3392,Soma Prime Stock,Rare (2.00%)
3393,Trinity Prime Chassis Blueprint,Uncommon (11.00%)
3394,Kavasa Prime Kubrow Collar Blueprint,Uncommon (11.00%)
3395,Forma Blueprint,Uncommon (25.33%)
3396,Nova Prime Systems Blueprint,Uncommon (25.33%)
3397,Vasto Prime Barrel,Uncommon (25.33%)
3398,,
3399,Axi S7 Relic (Exceptional),Axi S7 Relic (Exceptional)
3400,Soma Prime Stock,Rare (4.00%)
3401,Trinity Prime Chassis Blueprint,Uncommon (13.00%)
3402,Kavasa Prime Kubrow Collar Blueprint,Uncommon (13.00%)
3403,Forma Blueprint,Uncommon (23.33%)
3404,Nova Prime Systems Blueprint,Uncommon (23.33%)
3405,Vasto Prime Barrel,Uncommon (23.33%)
3406,,
3407,Axi S7 Relic (Flawless),Axi S7 Relic (Flawless)
3408,Soma Prime Stock,Rare (6.00%)
3409,Trinity Prime Chassis Blueprint,Uncommon (17.00%)
3410,Kavasa Prime Kubrow Collar Blueprint,Uncommon (17.00%)
3411,Forma Blueprint,Uncommon (20.00%)
3412,Nova Prime Systems Blueprint,Uncommon (20.00%)
3413,Vasto Prime Barrel,Uncommon (20.00%)
3414,,
3415,Axi S7 Relic (Radiant),Axi S7 Relic (Radiant)
3416,Soma Prime Stock,Uncommon (10.00%)
3417,Trinity Prime Chassis Blueprint,Uncommon (20.00%)
3418,Kavasa Prime Kubrow Collar Blueprint,Uncommon (20.00%)
3419,Forma Blueprint,Uncommon (16.67%)
3420,Nova Prime Systems Blueprint,Uncommon (16.67%)
3421,Vasto Prime Barrel,Uncommon (16.67%)
3422,,
3423,Axi S8 Relic (Intact),Axi S8 Relic (Intact)
3424,Scindo Prime Blade,Rare (2.00%)
3425,Venka Prime Blueprint,Uncommon (11.00%)
3426,Nyx Prime Chassis Blueprint,Uncommon (11.00%)
3427,Cernos Prime Grip,Uncommon (25.33%)
3428,Hikou Prime Blueprint,Uncommon (25.33%)
3429,Forma Blueprint,Uncommon (25.33%)
3430,,
3431,Axi S8 Relic (Exceptional),Axi S8 Relic (Exceptional)
3432,Scindo Prime Blade,Rare (4.00%)
3433,Venka Prime Blueprint,Uncommon (13.00%)
3434,Nyx Prime Chassis Blueprint,Uncommon (13.00%)
3435,Cernos Prime Grip,Uncommon (23.33%)
3436,Hikou Prime Blueprint,Uncommon (23.33%)
3437,Forma Blueprint,Uncommon (23.33%)
3438,,
3439,Axi S8 Relic (Flawless),Axi S8 Relic (Flawless)
3440,Scindo Prime Blade,Rare (6.00%)
3441,Venka Prime Blueprint,Uncommon (17.00%)
3442,Nyx Prime Chassis Blueprint,Uncommon (17.00%)
3443,Cernos Prime Grip,Uncommon (20.00%)
3444,Hikou Prime Blueprint,Uncommon (20.00%)
3445,Forma Blueprint,Uncommon (20.00%)
3446,,
3447,Axi S8 Relic (Radiant),Axi S8 Relic (Radiant)
3448,Scindo Prime Blade,Uncommon (10.00%)
3449,Venka Prime Blueprint,Uncommon (20.00%)
3450,Nyx Prime Chassis Blueprint,Uncommon (20.00%)
3451,Cernos Prime Grip,Uncommon (16.67%)
3452,Hikou Prime Blueprint,Uncommon (16.67%)
3453,Forma Blueprint,Uncommon (16.67%)
3454,,
3455,Axi S9 Relic (Intact),Axi S9 Relic (Intact)
3456,Scourge Prime Blueprint,Rare (2.00%)
3457,Nezha Prime Blueprint,Uncommon (11.00%)
3458,Gara Prime Chassis Blueprint,Uncommon (11.00%)
3459,Guandao Prime Blade,Uncommon (25.33%)
3460,Titania Prime Chassis Blueprint,Uncommon (25.33%)
3461,Forma Blueprint,Uncommon (25.33%)
3462,,
3463,Axi S9 Relic (Exceptional),Axi S9 Relic (Exceptional)
3464,Scourge Prime Blueprint,Rare (4.00%)
3465,Nezha Prime Blueprint,Uncommon (13.00%)
3466,Gara Prime Chassis Blueprint,Uncommon (13.00%)
3467,Guandao Prime Blade,Uncommon (23.33%)
3468,Titania Prime Chassis Blueprint,Uncommon (23.33%)
3469,Forma Blueprint,Uncommon (23.33%)
3470,,
3471,Axi S9 Relic (Flawless),Axi S9 Relic (Flawless)
3472,Scourge Prime Blueprint,Rare (6.00%)
3473,Nezha Prime Blueprint,Uncommon (17.00%)
3474,Gara Prime Chassis Blueprint,Uncommon (17.00%)
3475,Guandao Prime Blade,Uncommon (20.00%)
3476,Titania Prime Chassis Blueprint,Uncommon (20.00%)
3477,Forma Blueprint,Uncommon (20.00%)
3478,,
3479,Axi S9 Relic (Radiant),Axi S9 Relic (Radiant)
3480,Scourge Prime Blueprint,Uncommon (10.00%)
3481,Nezha Prime Blueprint,Uncommon (20.00%)
3482,Gara Prime Chassis Blueprint,Uncommon (20.00%)
3483,Guandao Prime Blade,Uncommon (16.67%)
3484,Titania Prime Chassis Blueprint,Uncommon (16.67%)
3485,Forma Blueprint,Uncommon (16.67%)
3486,,
3487,Axi T1 Relic (Intact),Axi T1 Relic (Intact)
3488,Tigris Prime Blueprint,Rare (2.00%)
3489,Akstiletto Prime Receiver,Uncommon (11.00%)
3490,Burston Prime Barrel,Uncommon (11.00%)
3491,Vectis Prime Barrel,Uncommon (25.33%)
3492,Odonata Prime Harness Blueprint,Uncommon (25.33%)
3493,Saryn Prime Systems Blueprint,Uncommon (25.33%)
3494,,
3495,Axi T1 Relic (Exceptional),Axi T1 Relic (Exceptional)
3496,Tigris Prime Blueprint,Rare (4.00%)
3497,Akstiletto Prime Receiver,Uncommon (13.00%)
3498,Burston Prime Barrel,Uncommon (13.00%)
3499,Vectis Prime Barrel,Uncommon (23.33%)
3500,Odonata Prime Harness Blueprint,Uncommon (23.33%)
3501,Saryn Prime Systems Blueprint,Uncommon (23.33%)
3502,,
3503,Axi T1 Relic (Flawless),Axi T1 Relic (Flawless)
3504,Tigris Prime Blueprint,Rare (6.00%)
3505,Akstiletto Prime Receiver,Uncommon (17.00%)
3506,Burston Prime Barrel,Uncommon (17.00%)
3507,Vectis Prime Barrel,Uncommon (20.00%)
3508,Odonata Prime Harness Blueprint,Uncommon (20.00%)
3509,Saryn Prime Systems Blueprint,Uncommon (20.00%)
3510,,
3511,Axi T1 Relic (Radiant),Axi T1 Relic (Radiant)
3512,Tigris Prime Blueprint,Uncommon (10.00%)
3513,Akstiletto Prime Receiver,Uncommon (20.00%)
3514,Burston Prime Barrel,Uncommon (20.00%)
3515,Vectis Prime Barrel,Uncommon (16.67%)
3516,Odonata Prime Harness Blueprint,Uncommon (16.67%)
3517,Saryn Prime Systems Blueprint,Uncommon (16.67%)
3518,,
3519,Axi T10 Relic (Intact),Axi T10 Relic (Intact)
3520,Tatsu Prime Handle,Rare (2.00%)
3521,Forma Blueprint,Uncommon (11.00%)
3522,Orthos Prime Blade,Uncommon (11.00%)
3523,Magnus Prime Blueprint,Uncommon (25.33%)
3524,Corvas Prime Receiver,Uncommon (25.33%)
3525,Bronco Prime Receiver,Uncommon (25.33%)
3526,,
3527,Axi T10 Relic (Exceptional),Axi T10 Relic (Exceptional)
3528,Tatsu Prime Handle,Rare (4.00%)
3529,Forma Blueprint,Uncommon (13.00%)
3530,Orthos Prime Blade,Uncommon (13.00%)
3531,Magnus Prime Blueprint,Uncommon (23.33%)
3532,Corvas Prime Receiver,Uncommon (23.33%)
3533,Bronco Prime Receiver,Uncommon (23.33%)
3534,,
3535,Axi T10 Relic (Flawless),Axi T10 Relic (Flawless)
3536,Tatsu Prime Handle,Rare (6.00%)
3537,Forma Blueprint,Uncommon (17.00%)
3538,Orthos Prime Blade,Uncommon (17.00%)
3539,Magnus Prime Blueprint,Uncommon (20.00%)
3540,Corvas Prime Receiver,Uncommon (20.00%)
3541,Bronco Prime Receiver,Uncommon (20.00%)
3542,,
3543,Axi T10 Relic (Radiant),Axi T10 Relic (Radiant)
3544,Tatsu Prime Handle,Uncommon (10.00%)
3545,Forma Blueprint,Uncommon (20.00%)
3546,Orthos Prime Blade,Uncommon (20.00%)
3547,Magnus Prime Blueprint,Uncommon (16.67%)
3548,Corvas Prime Receiver,Uncommon (16.67%)
3549,Bronco Prime Receiver,Uncommon (16.67%)
3550,,
3551,Axi T2 Relic (Intact),Axi T2 Relic (Intact)
3552,Tipedo Prime Handle,Rare (2.00%)
3553,Forma Blueprint,Uncommon (11.00%)
3554,Burston Prime Barrel,Uncommon (11.00%)
3555,Kogake Prime Boot,Uncommon (25.33%)
3556,Stradavar Prime Stock,Uncommon (25.33%)
3557,Mirage Prime Neuroptics Blueprint,Uncommon (25.33%)
3558,,
3559,Axi T2 Relic (Exceptional),Axi T2 Relic (Exceptional)
3560,Tipedo Prime Handle,Rare (4.00%)
3561,Forma Blueprint,Uncommon (13.00%)
3562,Burston Prime Barrel,Uncommon (13.00%)
3563,Kogake Prime Boot,Uncommon (23.33%)
3564,Stradavar Prime Stock,Uncommon (23.33%)
3565,Mirage Prime Neuroptics Blueprint,Uncommon (23.33%)
3566,,
3567,Axi T2 Relic (Flawless),Axi T2 Relic (Flawless)
3568,Tipedo Prime Handle,Rare (6.00%)
3569,Forma Blueprint,Uncommon (17.00%)
3570,Burston Prime Barrel,Uncommon (17.00%)
3571,Kogake Prime Boot,Uncommon (20.00%)
3572,Stradavar Prime Stock,Uncommon (20.00%)
3573,Mirage Prime Neuroptics Blueprint,Uncommon (20.00%)
3574,,
3575,Axi T2 Relic (Radiant),Axi T2 Relic (Radiant)
3576,Tipedo Prime Handle,Uncommon (10.00%)
3577,Forma Blueprint,Uncommon (20.00%)
3578,Burston Prime Barrel,Uncommon (20.00%)
3579,Kogake Prime Boot,Uncommon (16.67%)
3580,Stradavar Prime Stock,Uncommon (16.67%)
3581,Mirage Prime Neuroptics Blueprint,Uncommon (16.67%)
3582,,
3583,Axi T3 Relic (Intact),Axi T3 Relic (Intact)
3584,Tipedo Prime Handle,Rare (2.00%)
3585,Equinox Prime Blueprint,Uncommon (11.00%)
3586,Forma Blueprint,Uncommon (11.00%)
3587,Limbo Prime Systems Blueprint,Uncommon (25.33%)
3588,Paris Prime Lower Limb,Uncommon (25.33%)
3589,Burston Prime Blueprint,Uncommon (25.33%)
3590,,
3591,Axi T3 Relic (Exceptional),Axi T3 Relic (Exceptional)
3592,Tipedo Prime Handle,Rare (4.00%)
3593,Equinox Prime Blueprint,Uncommon (13.00%)
3594,Forma Blueprint,Uncommon (13.00%)
3595,Limbo Prime Systems Blueprint,Uncommon (23.33%)
3596,Paris Prime Lower Limb,Uncommon (23.33%)
3597,Burston Prime Blueprint,Uncommon (23.33%)
3598,,
3599,Axi T3 Relic (Flawless),Axi T3 Relic (Flawless)
3600,Tipedo Prime Handle,Rare (6.00%)
3601,Equinox Prime Blueprint,Uncommon (17.00%)
3602,Forma Blueprint,Uncommon (17.00%)
3603,Limbo Prime Systems Blueprint,Uncommon (20.00%)
3604,Paris Prime Lower Limb,Uncommon (20.00%)
3605,Burston Prime Blueprint,Uncommon (20.00%)
3606,,
3607,Axi T3 Relic (Radiant),Axi T3 Relic (Radiant)
3608,Tipedo Prime Handle,Uncommon (10.00%)
3609,Equinox Prime Blueprint,Uncommon (20.00%)
3610,Forma Blueprint,Uncommon (20.00%)
3611,Limbo Prime Systems Blueprint,Uncommon (16.67%)
3612,Paris Prime Lower Limb,Uncommon (16.67%)
3613,Burston Prime Blueprint,Uncommon (16.67%)
3614,,
3615,Axi T4 Relic (Intact),Axi T4 Relic (Intact)
3616,Tipedo Prime Handle,Rare (2.00%)
3617,Zhuge Prime Blueprint,Uncommon (11.00%)
3618,Equinox Prime Blueprint,Uncommon (11.00%)
3619,Corinth Prime Blueprint,Uncommon (25.33%)
3620,Wukong Prime Neuroptics Blueprint,Uncommon (25.33%)
3621,Braton Prime Blueprint,Uncommon (25.33%)
3622,,
3623,Axi T4 Relic (Exceptional),Axi T4 Relic (Exceptional)
3624,Tipedo Prime Handle,Rare (4.00%)
3625,Zhuge Prime Blueprint,Uncommon (13.00%)
3626,Equinox Prime Blueprint,Uncommon (13.00%)
3627,Corinth Prime Blueprint,Uncommon (23.33%)
3628,Wukong Prime Neuroptics Blueprint,Uncommon (23.33%)
3629,Braton Prime Blueprint,Uncommon (23.33%)
3630,,
3631,Axi T4 Relic (Flawless),Axi T4 Relic (Flawless)
3632,Tipedo Prime Handle,Rare (6.00%)
3633,Zhuge Prime Blueprint,Uncommon (17.00%)
3634,Equinox Prime Blueprint,Uncommon (17.00%)
3635,Corinth Prime Blueprint,Uncommon (20.00%)
3636,Wukong Prime Neuroptics Blueprint,Uncommon (20.00%)
3637,Braton Prime Blueprint,Uncommon (20.00%)
3638,,
3639,Axi T4 Relic (Radiant),Axi T4 Relic (Radiant)
3640,Tipedo Prime Handle,Uncommon (10.00%)
3641,Zhuge Prime Blueprint,Uncommon (20.00%)
3642,Equinox Prime Blueprint,Uncommon (20.00%)
3643,Corinth Prime Blueprint,Uncommon (16.67%)
3644,Wukong Prime Neuroptics Blueprint,Uncommon (16.67%)
3645,Braton Prime Blueprint,Uncommon (16.67%)
3646,,
3647,Axi T5 Relic (Intact),Axi T5 Relic (Intact)
3648,Titania Prime Systems Blueprint,Rare (2.00%)
3649,Gram Prime Blueprint,Uncommon (11.00%)
3650,Forma Blueprint,Uncommon (11.00%)
3651,Zhuge Prime String,Uncommon (25.33%)
3652,Chroma Prime Blueprint,Uncommon (25.33%)
3653,Rubico Prime Receiver,Uncommon (25.33%)
3654,,
3655,Axi T5 Relic (Exceptional),Axi T5 Relic (Exceptional)
3656,Titania Prime Systems Blueprint,Rare (4.00%)
3657,Gram Prime Blueprint,Uncommon (13.00%)
3658,Forma Blueprint,Uncommon (13.00%)
3659,Zhuge Prime String,Uncommon (23.33%)
3660,Chroma Prime Blueprint,Uncommon (23.33%)
3661,Rubico Prime Receiver,Uncommon (23.33%)
3662,,
3663,Axi T5 Relic (Flawless),Axi T5 Relic (Flawless)
3664,Titania Prime Systems Blueprint,Rare (6.00%)
3665,Gram Prime Blueprint,Uncommon (17.00%)
3666,Forma Blueprint,Uncommon (17.00%)
3667,Zhuge Prime String,Uncommon (20.00%)
3668,Chroma Prime Blueprint,Uncommon (20.00%)
3669,Rubico Prime Receiver,Uncommon (20.00%)
3670,,
3671,Axi T5 Relic (Radiant),Axi T5 Relic (Radiant)
3672,Titania Prime Systems Blueprint,Uncommon (10.00%)
3673,Gram Prime Blueprint,Uncommon (20.00%)
3674,Forma Blueprint,Uncommon (20.00%)
3675,Zhuge Prime String,Uncommon (16.67%)
3676,Chroma Prime Blueprint,Uncommon (16.67%)
3677,Rubico Prime Receiver,Uncommon (16.67%)
3678,,
3679,Axi T6 Relic (Intact),Axi T6 Relic (Intact)
3680,Tekko Prime Blade,Rare (2.00%)
3681,Tenora Prime Stock,Uncommon (11.00%)
3682,Wukong Prime Chassis Blueprint,Uncommon (11.00%)
3683,Forma Blueprint,Uncommon (25.33%)
3684,Paris Prime String,Uncommon (25.33%)
3685,Zakti Prime Receiver,Uncommon (25.33%)
3686,,
3687,Axi T6 Relic (Exceptional),Axi T6 Relic (Exceptional)
3688,Tekko Prime Blade,Rare (4.00%)
3689,Tenora Prime Stock,Uncommon (13.00%)
3690,Wukong Prime Chassis Blueprint,Uncommon (13.00%)
3691,Forma Blueprint,Uncommon (23.33%)
3692,Paris Prime String,Uncommon (23.33%)
3693,Zakti Prime Receiver,Uncommon (23.33%)
3694,,
3695,Axi T6 Relic (Flawless),Axi T6 Relic (Flawless)
3696,Tekko Prime Blade,Rare (6.00%)
3697,Tenora Prime Stock,Uncommon (17.00%)
3698,Wukong Prime Chassis Blueprint,Uncommon (17.00%)
3699,Forma Blueprint,Uncommon (20.00%)
3700,Paris Prime String,Uncommon (20.00%)
3701,Zakti Prime Receiver,Uncommon (20.00%)
3702,,
3703,Axi T6 Relic (Radiant),Axi T6 Relic (Radiant)
3704,Tekko Prime Blade,Uncommon (10.00%)
3705,Tenora Prime Stock,Uncommon (20.00%)
3706,Wukong Prime Chassis Blueprint,Uncommon (20.00%)
3707,Forma Blueprint,Uncommon (16.67%)
3708,Paris Prime String,Uncommon (16.67%)
3709,Zakti Prime Receiver,Uncommon (16.67%)
3710,,
3711,Axi T7 Relic (Intact),Axi T7 Relic (Intact)
3712,Tekko Prime Blade,Rare (2.00%)
3713,Pangolin Prime Blade,Uncommon (11.00%)
3714,Corinth Prime Receiver,Uncommon (11.00%)
3715,Inaros Prime Systems Blueprint,Uncommon (25.33%)
3716,Bronco Prime Receiver,Uncommon (25.33%)
3717,Forma Blueprint,Uncommon (25.33%)
3718,,
3719,Axi T7 Relic (Exceptional),Axi T7 Relic (Exceptional)
3720,Tekko Prime Blade,Rare (4.00%)
3721,Pangolin Prime Blade,Uncommon (13.00%)
3722,Corinth Prime Receiver,Uncommon (13.00%)
3723,Inaros Prime Systems Blueprint,Uncommon (23.33%)
3724,Bronco Prime Receiver,Uncommon (23.33%)
3725,Forma Blueprint,Uncommon (23.33%)
3726,,
3727,Axi T7 Relic (Flawless),Axi T7 Relic (Flawless)
3728,Tekko Prime Blade,Rare (6.00%)
3729,Pangolin Prime Blade,Uncommon (17.00%)
3730,Corinth Prime Receiver,Uncommon (17.00%)
3731,Inaros Prime Systems Blueprint,Uncommon (20.00%)
3732,Bronco Prime Receiver,Uncommon (20.00%)
3733,Forma Blueprint,Uncommon (20.00%)
3734,,
3735,Axi T7 Relic (Radiant),Axi T7 Relic (Radiant)
3736,Tekko Prime Blade,Uncommon (10.00%)
3737,Pangolin Prime Blade,Uncommon (20.00%)
3738,Corinth Prime Receiver,Uncommon (20.00%)
3739,Inaros Prime Systems Blueprint,Uncommon (16.67%)
3740,Bronco Prime Receiver,Uncommon (16.67%)
3741,Forma Blueprint,Uncommon (16.67%)
3742,,
3743,Axi T8 Relic (Intact),Axi T8 Relic (Intact)
3744,Tenora Prime Receiver,Rare (2.00%)
3745,Magnus Prime Receiver,Uncommon (11.00%)
3746,Harrow Prime Neuroptics Blueprint,Uncommon (11.00%)
3747,Paris Prime Lower Limb,Uncommon (25.33%)
3748,Strun Prime Receiver,Uncommon (25.33%)
3749,Forma Blueprint,Uncommon (25.33%)
3750,,
3751,Axi T8 Relic (Exceptional),Axi T8 Relic (Exceptional)
3752,Tenora Prime Receiver,Rare (4.00%)
3753,Magnus Prime Receiver,Uncommon (13.00%)
3754,Harrow Prime Neuroptics Blueprint,Uncommon (13.00%)
3755,Paris Prime Lower Limb,Uncommon (23.33%)
3756,Strun Prime Receiver,Uncommon (23.33%)
3757,Forma Blueprint,Uncommon (23.33%)
3758,,
3759,Axi T8 Relic (Flawless),Axi T8 Relic (Flawless)
3760,Tenora Prime Receiver,Rare (6.00%)
3761,Magnus Prime Receiver,Uncommon (17.00%)
3762,Harrow Prime Neuroptics Blueprint,Uncommon (17.00%)
3763,Paris Prime Lower Limb,Uncommon (20.00%)
3764,Strun Prime Receiver,Uncommon (20.00%)
3765,Forma Blueprint,Uncommon (20.00%)
3766,,
3767,Axi T8 Relic (Radiant),Axi T8 Relic (Radiant)
3768,Tenora Prime Receiver,Uncommon (10.00%)
3769,Magnus Prime Receiver,Uncommon (20.00%)
3770,Harrow Prime Neuroptics Blueprint,Uncommon (20.00%)
3771,Paris Prime Lower Limb,Uncommon (16.67%)
3772,Strun Prime Receiver,Uncommon (16.67%)
3773,Forma Blueprint,Uncommon (16.67%)
3774,,
3775,Axi T9 Relic (Intact),Axi T9 Relic (Intact)
3776,Tipedo Prime Handle,Rare (2.00%)
3777,Equinox Prime Neuroptics Blueprint,Uncommon (11.00%)
3778,Zhuge Prime Blueprint,Uncommon (11.00%)
3779,Ninkondi Prime Blueprint,Uncommon (25.33%)
3780,Fang Prime Blade,Uncommon (25.33%)
3781,Lex Prime Receiver,Uncommon (25.33%)
3782,,
3783,Axi T9 Relic (Exceptional),Axi T9 Relic (Exceptional)
3784,Tipedo Prime Handle,Rare (4.00%)
3785,Equinox Prime Neuroptics Blueprint,Uncommon (13.00%)
3786,Zhuge Prime Blueprint,Uncommon (13.00%)
3787,Ninkondi Prime Blueprint,Uncommon (23.33%)
3788,Fang Prime Blade,Uncommon (23.33%)
3789,Lex Prime Receiver,Uncommon (23.33%)
3790,,
3791,Axi T9 Relic (Flawless),Axi T9 Relic (Flawless)
3792,Tipedo Prime Handle,Rare (6.00%)
3793,Equinox Prime Neuroptics Blueprint,Uncommon (17.00%)
3794,Zhuge Prime Blueprint,Uncommon (17.00%)
3795,Ninkondi Prime Blueprint,Uncommon (20.00%)
3796,Fang Prime Blade,Uncommon (20.00%)
3797,Lex Prime Receiver,Uncommon (20.00%)
3798,,
3799,Axi T9 Relic (Radiant),Axi T9 Relic (Radiant)
3800,Tipedo Prime Handle,Uncommon (10.00%)
3801,Equinox Prime Neuroptics Blueprint,Uncommon (20.00%)
3802,Zhuge Prime Blueprint,Uncommon (20.00%)
3803,Ninkondi Prime Blueprint,Uncommon (16.67%)
3804,Fang Prime Blade,Uncommon (16.67%)
3805,Lex Prime Receiver,Uncommon (16.67%)
3806,,
3807,Axi V1 Relic (Intact),Axi V1 Relic (Intact)
3808,Odonata Prime Systems Blueprint,Uncommon (25.33%)
3809,Vauban Prime Chassis Blueprint,Rare (2.00%)
3810,Carrier Prime Systems,Uncommon (25.33%)
3811,Dual Kamas Prime Blueprint,Uncommon (25.33%)
3812,Volt Prime Neuroptics Blueprint,Uncommon (11.00%)
3813,Forma Blueprint,Uncommon (11.00%)
3814,,
3815,Axi V1 Relic (Exceptional),Axi V1 Relic (Exceptional)
3816,Odonata Prime Systems Blueprint,Uncommon (23.33%)
3817,Vauban Prime Chassis Blueprint,Rare (4.00%)
3818,Carrier Prime Systems,Uncommon (23.33%)
3819,Dual Kamas Prime Blueprint,Uncommon (23.33%)
3820,Volt Prime Neuroptics Blueprint,Uncommon (13.00%)
3821,Forma Blueprint,Uncommon (13.00%)
3822,,
3823,Axi V1 Relic (Flawless),Axi V1 Relic (Flawless)
3824,Odonata Prime Systems Blueprint,Uncommon (20.00%)
3825,Vauban Prime Chassis Blueprint,Rare (6.00%)
3826,Carrier Prime Systems,Uncommon (20.00%)
3827,Dual Kamas Prime Blueprint,Uncommon (20.00%)
3828,Volt Prime Neuroptics Blueprint,Uncommon (17.00%)
3829,Forma Blueprint,Uncommon (17.00%)
3830,,
3831,Axi V1 Relic (Radiant),Axi V1 Relic (Radiant)
3832,Odonata Prime Systems Blueprint,Uncommon (16.67%)
3833,Vauban Prime Chassis Blueprint,Uncommon (10.00%)
3834,Carrier Prime Systems,Uncommon (16.67%)
3835,Dual Kamas Prime Blueprint,Uncommon (16.67%)
3836,Volt Prime Neuroptics Blueprint,Uncommon (20.00%)
3837,Forma Blueprint,Uncommon (20.00%)
3838,,
3839,Axi V10 Relic (Intact),Axi V10 Relic (Intact)
3840,Venka Prime Gauntlet,Rare (2.00%)
3841,Forma Blueprint,Uncommon (11.00%)
3842,Valkyr Prime Systems Blueprint,Uncommon (11.00%)
3843,Hikou Prime Stars,Uncommon (25.33%)
3844,Cernos Prime String,Uncommon (25.33%)
3845,Lex Prime Receiver,Uncommon (25.33%)
3846,,
3847,Axi V10 Relic (Exceptional),Axi V10 Relic (Exceptional)
3848,Venka Prime Gauntlet,Rare (4.00%)
3849,Forma Blueprint,Uncommon (13.00%)
3850,Valkyr Prime Systems Blueprint,Uncommon (13.00%)
3851,Hikou Prime Stars,Uncommon (23.33%)
3852,Cernos Prime String,Uncommon (23.33%)
3853,Lex Prime Receiver,Uncommon (23.33%)
3854,,
3855,Axi V10 Relic (Flawless),Axi V10 Relic (Flawless)
3856,Venka Prime Gauntlet,Rare (6.00%)
3857,Forma Blueprint,Uncommon (17.00%)
3858,Valkyr Prime Systems Blueprint,Uncommon (17.00%)
3859,Hikou Prime Stars,Uncommon (20.00%)
3860,Cernos Prime String,Uncommon (20.00%)
3861,Lex Prime Receiver,Uncommon (20.00%)
3862,,
3863,Axi V10 Relic (Radiant),Axi V10 Relic (Radiant)
3864,Venka Prime Gauntlet,Uncommon (10.00%)
3865,Forma Blueprint,Uncommon (20.00%)
3866,Valkyr Prime Systems Blueprint,Uncommon (20.00%)
3867,Hikou Prime Stars,Uncommon (16.67%)
3868,Cernos Prime String,Uncommon (16.67%)
3869,Lex Prime Receiver,Uncommon (16.67%)
3870,,
3871,Axi V2 Relic (Intact),Axi V2 Relic (Intact)
3872,Vectis Prime Stock,Rare (2.00%)
3873,Hikou Prime Pouch,Uncommon (25.33%)
3874,Braton Prime Receiver,Uncommon (11.00%)
3875,Trinity Prime Systems Blueprint,Uncommon (25.33%)
